variant,load_balance_weight,intervention,support,anchor_intervention,anchor_support,control_support,anchor_router_support_count,control_router_support_count,support_count_difference,anchor_fixed_support_loss,control_fixed_support_loss,fixed_support_loss_difference,control_match_rank,control_match_status,control_candidate_count,control_exact_support_count_candidate_count,control_near_support_count_candidate_count,control_min_support_count_abs_difference_available,position_bin,token_class,router_support_count,empty_loss,router_loss,singleton_left_loss,singleton_right_loss,pair_loss,singleton_left_gain,singleton_right_gain,pair_gain,pair_synergy,fixed_support_loss,fixed_support_loss_delta,fixed_support_logit_mse,fixed_support_residual_stream_l2_delta,pair_value_cosine
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"6,7",fixed_best_support_swap,"7,10","6,7",0,0,0,4.014103412628174,4.072795391082764,0.058691978454589844,12,exact_support_count_candidate_available,224,224,224,0,all,all,0,4.163630962371826,2.830271005630493,4.267879962921143,4.136129856109619,4.072795391082764,-0.1042490005493164,0.02750110626220703,0.0908355712890625,0.16758346557617188,4.072795391082764,1.2425243854522705,0.2270425409078598,4.6353631019592285,0.018802359700202942
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"6,7",fixed_best_support_swap,"7,10","6,7",0,0,0,4.014103412628174,4.072795391082764,0.058691978454589844,12,exact_support_count_candidate_available,224,224,224,0,even,all,0,4.12342643737793,2.7805063724517822,4.227217674255371,4.106414794921875,4.038130760192871,-0.1037912368774414,0.017011642456054688,0.0852956771850586,0.1720752716064453,4.038130760192871,1.2576243877410889,,,0.018802359700202942
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"6,7",fixed_best_support_swap,"7,10","6,7",0,0,0,4.014103412628174,4.072795391082764,0.058691978454589844,12,exact_support_count_candidate_available,224,224,224,0,odd,all,0,4.205132484436035,2.881640672683716,4.309854984283447,4.166803359985352,4.108578205108643,-0.10472249984741211,0.038329124450683594,0.09655427932739258,0.1629476547241211,4.108578205108643,1.2269375324249268,,,0.018802359700202942
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"6,7",fixed_best_support_swap,"7,10","6,7",0,0,0,4.014103412628174,4.072795391082764,0.058691978454589844,12,exact_support_count_candidate_available,224,224,224,0,all,common_target,0,4.114662170410156,2.6311802864074707,4.2575812339782715,3.967679262161255,3.9374725818634033,-0.14291906356811523,0.14698290824890137,0.17718958854675293,0.1731257438659668,3.9374725818634033,1.3062922954559326,,,0.018802359700202942
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"6,7",fixed_best_support_swap,"7,10","6,7",0,0,0,4.014103412628174,4.072795391082764,0.058691978454589844,12,exact_support_count_candidate_available,224,224,224,0,all,rare_target,0,4.234468460083008,3.1182758808135986,4.282777786254883,4.3798112869262695,4.268553733825684,-0.048309326171875,-0.14534282684326172,-0.03408527374267578,0.15956687927246094,4.268553733825684,1.150277853012085,,,0.018802359700202942
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"1,2",fixed_best_support_swap,"7,23","1,2",0,0,0,4.0184245109558105,4.108691215515137,0.09026670455932617,19,exact_support_count_candidate_available,224,224,224,0,all,all,0,4.163630962371826,2.830271005630493,4.266045093536377,4.1523027420043945,4.108691215515137,-0.10241413116455078,0.01132822036743164,0.05493974685668945,0.1460256576538086,4.108691215515137,1.2784202098846436,0.15206846594810486,4.11256217956543,-0.07083574682474136
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"1,2",fixed_best_support_swap,"7,23","1,2",0,0,0,4.0184245109558105,4.108691215515137,0.09026670455932617,19,exact_support_count_candidate_available,224,224,224,0,even,all,0,4.12342643737793,2.7805063724517822,4.218130111694336,4.112416744232178,4.068138122558594,-0.09470367431640625,0.011009693145751953,0.05528831481933594,0.13898229598999023,4.068138122558594,1.2876317501068115,,,-0.07083574682474136
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"1,2",fixed_best_support_swap,"7,23","1,2",0,0,0,4.0184245109558105,4.108691215515137,0.09026670455932617,19,exact_support_count_candidate_available,224,224,224,0,odd,all,0,4.205132484436035,2.881640672683716,4.315504550933838,4.193474769592285,4.150552749633789,-0.11037206649780273,0.01165771484375,0.054579734802246094,0.15329408645629883,4.150552749633789,1.2689120769500732,,,-0.07083574682474136
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"1,2",fixed_best_support_swap,"7,23","1,2",0,0,0,4.0184245109558105,4.108691215515137,0.09026670455932617,19,exact_support_count_candidate_available,224,224,224,0,all,common_target,0,4.114662170410156,2.6311802864074707,4.210938930511475,4.095191478729248,4.082561492919922,-0.09627676010131836,0.019470691680908203,0.032100677490234375,0.10890674591064453,4.082561492919922,1.4513812065124512,,,-0.07083574682474136
load_balance_0.0125,0.0125,fixed_singleton_gain_matched_nonrouter_control,"1,2",fixed_best_support_swap,"7,23","1,2",0,0,0,4.0184245109558105,4.108691215515137,0.09026670455932617,19,exact_support_count_candidate_available,224,224,224,0,all,rare_target,0,4.234468460083008,3.1182758808135986,4.345759868621826,4.23491907119751,4.146491050720215,-0.11129140853881836,-0.0004506111145019531,0.08797740936279297,0.19971942901611328,4.146491050720215,1.0282151699066162,,,-0.07083574682474136
