position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,topk2_active_rank_proxy,topk1_active_rank_proxy,topk2_row_count,topk1_row_count,topk2_router_support_count_mean,topk1_router_support_count_mean,topk2_router_loss_mean,topk1_router_loss_mean,topk2_fixed_support_loss_delta_mean,topk1_fixed_support_loss_delta_mean,topk2_fixed_delta_minus_topk1,topk2_fixed_support_logit_mse_mean,topk1_fixed_support_logit_mse_mean,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_mean,topk1_residual_stream_l2_delta_mean,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
even,rare_target,low,low,low,2,1,57,62,11.75438596491228,13.0,3.0129506504326535,3.0127173585276448,1.4794543500532185,1.6482245729815574,-0.168770222928339,0.3257190985114951,0.3574872026520391,-0.031768104140543985,6.156551670609859,6.859146571928455,-0.7025949013185961,0.11289757176449425
even,rare_target,low,low,mid,2,1,16,45,16.0,15.533333333333333,3.166566923260689,2.8964092201656766,1.4308659732341766,1.906237416797214,-0.4753714435630374,0.3124255333095789,0.3534635533889135,-0.0410380200793346,6.183594584465027,6.935124725765652,-0.7515301413006252,0.1628803014755249
even,rare_target,low,mid,high,2,1,10,36,18.0,19.0,3.1758208751678465,2.6654593547185264,1.0678750991821289,1.5572834412256877,-0.4894083420435589,0.33469955027103426,0.2978135575022962,0.03688599276873805,6.205379676818848,6.510348743862576,-0.3049690670437277,0.21110470294952394
even,rare_target,low,mid,low,2,1,35,73,12.028571428571428,13.0,3.333715908867972,2.8643126422411775,1.2618100575038365,1.5468467490313804,-0.28503669152754396,0.32234311274119787,0.32955185864886194,-0.007208745907664071,6.150066375732422,6.6866687160648715,-0.5366023403324496,0.10828379222324916
even,rare_target,low,mid,mid,2,1,20,31,16.0,16.032258064516128,3.187919521331787,3.1386026567028416,1.2203548192977904,1.185584222116778,0.034770597181012386,0.31542125567793844,0.31675648256655664,-0.0013352268886182017,6.065081691741943,6.814536525357154,-0.7494548336152107,0.23315449953079223
even,rare_target,mid,high,low,2,1,34,11,12.147058823529411,13.0,3.085868428735172,3.4588370106436988,0.5565541702158311,0.4366548711603338,0.11989929905549729,0.20237734037287095,0.26222589341076935,-0.059848553037898405,4.320246275733499,4.839892734180797,-0.5196464584472977,0.27331069637747374
even,rare_target,mid,low,low,2,1,45,6,12.088888888888889,13.0,3.2440348201327853,2.85586678981781,1.3967138926188152,1.9783886671066284,-0.5816747744878132,0.3216417696740892,0.3994228442509969,-0.0777810745769077,6.301515939500597,6.994441588719686,-0.692925649219089,0.21625105010138618
even,rare_target,mid,mid,low,2,1,49,4,12.081632653061224,13.0,3.145270605476535,3.3807809948921204,1.0221762267910703,1.233051359653473,-0.21087513286240256,0.3366858582107388,0.3502291515469551,-0.013543293336216289,6.304856105726593,6.87782096862793,-0.5729648629013369,0.1760022396944007
odd,common_target,high,high,high,2,1,24,3,18.0,19.0,2.9085816591978073,3.0286582310994468,0.03459256887435913,1.098340352376302,-1.0637477835019429,0.010629540930191675,0.28753451506296795,-0.27690497413277626,0.24175628026326498,6.402326901753743,-6.1605706214904785,0.025826374689737957
odd,common_target,high,mid,high,2,1,5,1,18.0,19.0,2.571714448928833,1.9004145860671997,1.792168092727661,1.9199656248092651,-0.12779753208160405,0.2687447786331177,0.3467789590358734,-0.07803418040275573,5.958790111541748,6.758387565612793,-0.7995974540710451,0.24310064315795898
odd,common_target,low,high,high,2,1,5,49,18.0,19.0,3.173427677154541,3.0641446989409777,0.8337216854095459,0.7315996666343845,0.10212201877516147,0.2873614072799683,0.18824640798325443,0.09911499929671386,5.9955470085144045,4.636486072929538,1.3590609355848668,-0.010870218276977539
odd,common_target,low,high,low,2,1,19,89,12.105263157894736,13.0,3.5531950875332483,2.7034173621220536,0.8428312602796053,0.7895452648066403,0.053285995472964975,0.27577967314343704,0.22059205793932582,0.05518761520411122,5.7584066892925065,5.027137981371933,0.7312687079205737,0.12271632646259509
odd,common_target,low,high,mid,2,1,4,47,16.0,15.787234042553191,3.774329960346222,2.93972987190206,0.6913217902183533,0.8218858584444574,-0.1305640682261041,0.2955705225467682,0.220055731053048,0.0755147914937202,6.140395998954773,5.472260962141321,0.6681350368134522,0.19260120391845703
odd,common_target,low,low,high,2,1,13,49,18.0,19.0,2.6687696346869836,2.816323308312163,1.3672120387737567,1.8489637095101026,-0.48175167073634584,0.28687832676447356,0.36431457375993537,-0.07743624699546181,5.8116434170649605,6.92145822486099,-1.1098148077960293,0.2041796354147104
odd,common_target,low,low,low,2,1,46,102,12.108695652173912,13.0,2.4768845672192783,2.753408146839516,1.6221538833949878,1.8408918404111676,-0.21873795701617982,0.3064567793322646,0.3710406364179125,-0.0645838570856479,6.008079663566921,6.882793791153851,-0.8747141275869303,0.22355309258336606
odd,common_target,low,low,mid,2,1,11,49,16.0,15.224489795918368,2.166901718486439,2.6692858593804494,1.9679859768260608,1.9528623916664902,0.015123585159570574,0.34599879113110626,0.36973026577307255,-0.023731474641966288,6.09748549894853,7.019559461243299,-0.9220739622947685,0.07060915773565118
odd,common_target,low,mid,high,2,1,4,56,18.0,19.0,2.237973690032959,2.7064264299614087,1.734501838684082,1.4085713784609522,0.3259304602231299,0.2934695929288864,0.3067405175949846,-0.013270924666098194,5.969849348068237,6.718553696359907,-0.7487043482916693,0.3741249442100525
odd,common_target,low,mid,low,2,1,47,93,12.148936170212766,13.0,3.113999884179298,3.118590053691659,1.1848285705485242,1.3702608782757995,-0.18543230772727526,0.2847520972185947,0.31622130688159694,-0.03146920966300226,6.0278420752667365,6.618386601889005,-0.5905445266222689,0.196027380354861
