batch_index,position_index,token_index,target_token,matched_context_stratum_count,position_bins,token_classes,residual_norm_bins,residual_gain_bins,support_count_bins,topk2_row_count,topk1_row_count,topk2_router_loss_mean,topk1_router_loss_mean,topk2_pair_gain_mean,topk1_singleton_gain_mean,topk2_incremental_pair_gain_minus_topk1_singleton,topk2_fixed_delta_minus_topk1,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
0,37,37,41,2,odd,rare_target,low,high,"low,mid",3,2,2.7675771713256836,3.074357509613037,0.23382866382598877,0.6105725765228271,-0.3767439126968384,0.6835242509841919,0.11099482327699661,2.7421807050704956,-0.23916029930114746
0,38,38,3,2,even,common_target,"low,mid",low,low,4,2,2.0835635662078857,2.456920862197876,-0.25313266118367517,-0.6127700805664062,0.3596374193827311,0.013719876607259152,-0.1190144419670105,-1.4073549111684165,0.1014086405436198
0,39,39,36,4,odd,rare_target,low,"high,mid","high,low,mid",4,7,2.1166977882385254,2.022202730178833,0.07558131217956543,0.30336349209149677,-0.22778217991193134,0.13328712185223895,0.13673744971553486,1.3216910362243652,0.01977914571762085
0,4,4,2,2,even,common_target,low,"high,low",low,3,3,2.3394315242767334,2.9144883155822754,-0.07218682765960693,-0.16579878330230713,0.0936119556427002,0.4814448356628418,-0.0035904496908187866,-0.3605698347091675,0.2219756841659546
0,40,40,22,1,even,common_target,mid,high,low,2,1,2.8790385723114014,3.191160202026367,1.4498827457427979,0.11782121658325195,1.332061529159546,-1.01993989944458,-0.3643229901790619,-6.658881664276123,0.1493849754333496
0,41,41,16,2,odd,rare_target,low,mid,"high,mid",2,2,3.0807855129241943,3.167625904083252,-0.012212514877319336,-0.08463811874389648,0.07242560386657715,0.014414787292480469,-0.12616469711065292,-1.3758032321929932,0.11567306518554688
0,42,42,35,2,even,rare_target,low,low,"high,low",4,3,4.800810813903809,4.698241233825684,-0.28654344876607263,-0.46146059036254883,0.17491714159647623,-0.27748672167460126,0.013814831773440034,-0.7483788331349692,0.2697938283284505
0,43,43,0,2,odd,common_target,low,mid,"low,mid",3,3,1.178186058998108,2.3714253902435303,-0.018896102905273438,-0.1792764663696289,0.16038036346435547,1.032858967781067,-0.04120303690433502,-0.7638039588928223,0.20880520343780518
0,44,44,50,4,even,rare_target,"low,mid","low,mid","high,low,mid",6,4,5.082854270935059,3.5647668838500977,-0.4164789517720541,-0.2990010976791382,-0.11747785409291586,-1.4006095329920452,-0.08162323261300723,-0.705233891805013,0.2178151210149129
0,46,46,8,3,even,common_target,low,"low,mid","low,mid",4,3,3.036759376525879,2.9710495471954346,-0.2385424772898356,-0.2946263949076335,0.05608391761779785,-0.12179374694824219,-0.011871064702669779,-0.7777025699615479,0.4149012565612793
0,47,47,47,2,odd,rare_target,low,mid,"low,mid",5,3,3.796895980834961,4.12209415435791,-0.1008380651473999,-0.022881507873535156,-0.07795655727386475,0.40315473079681396,0.06104104345043501,-0.22320246696472168,0.22718505064646402
0,48,48,12,2,even,common_target,low,mid,"low,mid",5,4,3.3553617000579834,3.5138769149780273,-0.15185892581939697,-0.19087616602579754,0.03901724020640056,0.11949797471364337,-0.01278273140390715,-0.4142448107401533,0.22698291142781574
0,49,49,11,1,odd,common_target,low,mid,low,1,1,1.6873419284820557,2.0915896892547607,-0.06166815757751465,-0.2788426876068115,0.21717453002929688,0.1870732307434082,-0.14375045895576477,-0.7208371162414551,0.08106064796447754
