anchor_support,control_intervention,control_support,token_index,batch_index,position_index,position_bin,token_class,residual_norm_bin,residual_gain_bin,observed_pair_synergy,control_pair_synergy,observed_minus_control_pair_synergy,observed_pair_gain,control_pair_gain,anchor_router_support_count,control_router_support_count,support_count_difference,fixed_support_loss_difference,control_match_rank,control_match_status
"2,9",fixed_random_nonrouter_control,"17,18",42,0,42,even,rare_target,low,low,0.46756553649902344,0.5139369964599609,-0.0463714599609375,-0.29735851287841797,-0.048152923583984375,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",44,0,44,even,rare_target,low,low,0.25083255767822266,0.26076793670654297,-0.009935379028320312,-0.37231922149658203,-0.011577606201171875,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",47,0,47,odd,rare_target,low,mid,0.343475341796875,0.31885623931884766,0.024619102478027344,-0.10083675384521484,-0.1485762596130371,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",51,0,51,odd,rare_target,low,mid,0.3012242317199707,0.19971442222595215,0.10150980949401855,-0.10476064682006836,-0.0787360668182373,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",53,0,53,odd,common_target,high,mid,0.5822348594665527,0.009085655212402344,0.5731492042541504,-0.008975028991699219,-0.2312302589416504,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",59,0,59,odd,common_target,high,high,0.812873363494873,0.02227640151977539,0.7905969619750977,0.10319232940673828,-0.6416258811950684,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",61,0,61,odd,common_target,high,mid,0.17944574356079102,0.12027692794799805,0.05916881561279297,-0.07144784927368164,-0.01415395736694336,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",65,1,2,even,rare_target,low,mid,0.34336376190185547,0.3367609977722168,0.006602764129638672,-0.09956932067871094,-0.1331324577331543,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",66,1,3,odd,common_target,high,high,0.1560525894165039,0.0467529296875,0.1092996597290039,0.7446999549865723,0.0307464599609375,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",68,1,5,odd,common_target,high,high,0.5976295471191406,-0.004848480224609375,0.60247802734375,0.4926872253417969,0.02936267852783203,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",69,1,6,even,rare_target,low,mid,0.3005712032318115,0.20566534996032715,0.09490585327148438,-0.10394549369812012,-0.07597231864929199,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",70,1,7,odd,common_target,high,high,-0.20418357849121094,7.43865966796875e-05,-0.20425796508789062,1.8464325666427612,-0.2684059143066406,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",71,1,8,even,common_target,high,mid,0.5831303596496582,0.009518146514892578,0.5736122131347656,-0.010194778442382812,-0.23358154296875,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",74,1,11,odd,common_target,high,high,0.15350008010864258,0.0003781318664550781,0.1531219482421875,0.3619251251220703,0.031415462493896484,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",76,1,13,odd,common_target,high,high,-0.32198619842529297,-0.10402226448059082,-0.21796393394470215,1.3961374759674072,0.17305326461791992,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",77,1,14,even,common_target,high,mid,0.8127932548522949,0.022390365600585938,0.790402889251709,0.10174155235290527,-0.6429617404937744,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",79,1,16,even,common_target,high,mid,0.17979669570922852,0.11877679824829102,0.0610198974609375,-0.07216644287109375,-0.01714611053466797,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",82,1,19,odd,rare_target,low,mid,0.522758960723877,0.12842512130737305,0.3943338394165039,-0.10800647735595703,-0.063751220703125,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",83,1,20,even,common_target,high,mid,0.26967787742614746,0.001020193099975586,0.2686576843261719,0.015613079071044922,-0.21572017669677734,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",85,1,22,even,rare_target,low,high,0.08392143249511719,0.24212646484375,-0.1582050323486328,0.19955873489379883,-9.5367431640625e-07,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",86,1,23,odd,rare_target,low,high,0.36431121826171875,0.0643463134765625,0.29996490478515625,0.2870035171508789,-0.3407573699951172,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",87,1,24,even,rare_target,low,low,0.42725086212158203,0.35611963272094727,0.07113122940063477,-0.43999385833740234,-0.019002914428710938,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",89,1,26,even,common_target,low,high,0.24095559120178223,5.245208740234375e-06,0.240950345993042,0.19065046310424805,-0.04160356521606445,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",91,1,28,even,common_target,low,high,-0.00646209716796875,0.008655548095703125,-0.015117645263671875,0.14092016220092773,-0.18454504013061523,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",96,1,33,odd,common_target,low,low,0.3126556873321533,0.30544376373291016,0.007211923599243164,-0.24256205558776855,-0.02936530113220215,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",98,1,35,odd,common_target,low,low,0.38601112365722656,0.005217075347900391,0.38079404830932617,-0.25250244140625,-0.19241714477539062,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",101,1,38,even,common_target,low,low,0.20778441429138184,0.15488123893737793,0.052903175354003906,-0.3977782726287842,-0.31673097610473633,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",105,1,42,even,rare_target,low,mid,0.04659152030944824,0.6502640247344971,-0.6036725044250488,-0.11423707008361816,-0.0011148452758789062,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",106,1,43,odd,common_target,high,high,-0.22638750076293945,0.06792855262756348,-0.29431605339050293,1.8308895826339722,-0.21971535682678223,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",108,1,45,odd,common_target,high,high,0.1618494987487793,-9.059906005859375e-06,0.16185855865478516,0.9218087196350098,0.21707487106323242,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",109,1,46,even,common_target,low,mid,0.13080406188964844,0.08585429191589355,0.04494976997375488,-0.10023260116577148,8.249282836914062e-05,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",112,1,49,odd,common_target,low,high,-0.18303966522216797,0.03829336166381836,-0.22133302688598633,0.3124551773071289,-0.10456371307373047,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",115,1,52,even,common_target,low,mid,0.5997195243835449,-0.04394245147705078,0.6436619758605957,0.0028281211853027344,0.07450675964355469,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",116,1,53,odd,common_target,high,mid,0.30904245376586914,0.0034008026123046875,0.30564165115356445,-0.06223440170288086,-0.3094363212585449,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",117,1,54,even,common_target,low,low,0.529149055480957,0.32036542892456055,0.20878362655639648,-0.43239879608154297,-0.2344651222229004,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",118,1,55,odd,common_target,high,high,-0.25032806396484375,0.35944509506225586,-0.6097731590270996,1.9305927753448486,-0.003353118896484375,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",120,1,57,odd,common_target,low,low,-0.002104043960571289,0.2575383186340332,-0.2596423625946045,-0.3896172046661377,-1.5497207641601562e-05,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",123,1,60,even,common_target,low,low,-0.34860658645629883,-0.14175939559936523,-0.2068471908569336,-0.25197362899780273,0.0011103153228759766,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",124,1,61,odd,rare_target,low,high,0.03330206871032715,0.31209802627563477,-0.2787959575653076,0.11570262908935547,-0.04471731185913086,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",127,2,1,odd,common_target,low,mid,0.1529991626739502,0.08715248107910156,0.06584668159484863,-0.08181405067443848,7.62939453125e-05,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",130,2,4,even,common_target,low,high,-0.18305587768554688,0.04051351547241211,-0.22356939315795898,0.31037235260009766,-0.10210132598876953,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",133,2,7,odd,common_target,low,mid,0.5983567237854004,-0.0422205924987793,0.6405773162841797,-0.0011272430419921875,0.07624340057373047,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",134,2,8,even,common_target,high,mid,0.30857181549072266,0.0030717849731445312,0.3055000305175781,-0.06496047973632812,-0.3105769157409668,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",135,2,9,odd,common_target,low,low,0.5274844169616699,0.28731346130371094,0.24017095565795898,-0.4358062744140625,-0.2674851417541504,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",138,2,12,even,common_target,low,low,-0.003905057907104492,0.2574903964996338,-0.2613954544067383,-0.3931441307067871,-1.71661376953125e-05,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",139,2,13,odd,common_target,high,mid,-0.16377496719360352,0.0,-0.16377496719360352,-0.09283161163330078,1.305748462677002,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",141,2,15,odd,common_target,low,low,-0.3489265441894531,-0.14153361320495605,-0.20739293098449707,-0.255037784576416,0.001249074935913086,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",142,2,16,even,rare_target,low,high,0.03266310691833496,0.30436277389526367,-0.2716996669769287,0.11080074310302734,-0.0513308048248291,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",143,2,17,odd,common_target,high,high,-0.35459089279174805,-0.1725177764892578,-0.18207311630249023,1.4475924968719482,0.060355186462402344,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",144,2,18,even,rare_target,low,mid,0.04393815994262695,0.0,0.04393815994262695,-0.01143646240234375,1.3043932914733887,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
"2,9",fixed_random_nonrouter_control,"17,18",145,2,19,odd,rare_target,low,low,0.47173404693603516,0.5101051330566406,-0.03837108612060547,-0.2963981628417969,-0.054271697998046875,18.0,0.0,-18.0,0.12035465240478516,1.0,loose_support_count_fallback
