support_key,support_size,loss,gain_from_empty,delta_from_router,pairwise_synergy
"5,19",2,4.147821426391602,0.01580953598022461,1.2797143459320068,0.18227577209472656
"5,20",2,4.162897109985352,0.0007338523864746094,1.2947900295257568,0.08839559555053711
"5,21",2,4.237798690795898,-0.07416772842407227,1.3696916103363037,0.14648723602294922
"5,22",2,4.2454047203063965,-0.08177375793457031,1.3772976398468018,0.12431192398071289
"5,23",2,4.271625995635986,-0.10799503326416016,1.4035189151763916,0.15663814544677734
"6,7",2,4.180917739868164,-0.01728677749633789,1.3128106594085693,0.18202447891235352
"6,8",2,4.164766788482666,-0.0011358261108398438,1.2966597080230713,0.22634601593017578
"6,9",2,4.217132568359375,-0.05350160598754883,1.3490254878997803,0.048104286193847656
"6,10",2,4.203584671020508,-0.03995370864868164,1.335477590560913,0.14886856079101562
"6,11",2,4.14443302154541,0.019197940826416016,1.2763259410858154,0.17427778244018555
"6,12",2,4.187249660491943,-0.023618698120117188,1.3191425800323486,0.07987642288208008
"6,13",2,4.217115879058838,-0.05348491668701172,1.3490087985992432,0.14478731155395508
"6,14",2,4.144005298614502,0.01962566375732422,1.2758982181549072,0.17409849166870117
"6,15",2,4.158156871795654,0.005474090576171875,1.2900497913360596,0.1833477020263672
"6,16",2,4.17267370223999,-0.009042739868164062,1.3045666217803955,0.19394826889038086
"6,17",2,4.204504489898682,-0.04087352752685547,1.336397409439087,0.06240034103393555
"6,18",2,4.1722283363342285,-0.008597373962402344,1.3041212558746338,0.19217729568481445
"6,19",2,4.161837100982666,0.0017938613891601562,1.2937300205230713,0.17988204956054688
"6,20",2,4.151241779327393,0.012389183044433594,1.2831346988677979,0.11167287826538086
"6,21",2,4.212407112121582,-0.04877614974975586,1.3443000316619873,0.1835007667541504
"6,22",2,4.184878349304199,-0.021247386932373047,1.3167712688446045,0.19646024703979492
"6,23",2,4.203293800354004,-0.039662837982177734,1.3351867198944092,0.23659229278564453
"7,8",2,4.162354946136475,0.0012760162353515625,1.2942478656768799,0.22950172424316406
"7,9",2,4.186904430389404,-0.023273468017578125,1.3187973499298096,0.07907629013061523
"7,10",2,4.196285724639893,-0.032654762268066406,1.3281786441802979,0.15691137313842773
"7,11",2,4.173609256744385,-0.009978294372558594,1.30550217628479,0.1458454132080078
"7,12",2,4.194191932678223,-0.030560970306396484,1.326084852218628,0.07367801666259766
"7,13",2,4.177859783172607,-0.01422882080078125,1.3097527027130127,0.18478727340698242
"7,14",2,4.156824111938477,0.006806850433349609,1.2887170314788818,0.16202354431152344
"7,15",2,4.191399097442627,-0.02776813507080078,1.3232920169830322,0.1508493423461914
"7,16",2,4.190568447113037,-0.026937484741210938,1.3224613666534424,0.17679738998413086
"7,17",2,4.224898815155029,-0.061267852783203125,1.3567917346954346,0.042749881744384766
"7,18",2,4.1397624015808105,0.023868560791015625,1.2716553211212158,0.2253870964050293
"7,19",2,4.109045505523682,0.05458545684814453,1.240938425064087,0.23341751098632812
"7,20",2,4.14220666885376,0.021424293518066406,1.274099588394165,0.12145185470581055
"7,21",2,4.2286601066589355,-0.06502914428710938,1.3605530261993408,0.16799163818359375
"7,22",2,4.188173294067383,-0.02454233169555664,1.320066213607788,0.1939091682434082
"7,23",2,4.228358745574951,-0.064727783203125,1.3602516651153564,0.21227121353149414
"8,9",2,4.123532295227051,0.04009866714477539,1.255425214767456,0.17061901092529297
"8,10",2,4.203767776489258,-0.04013681411743164,1.335660696029663,0.17759990692138672
"8,11",2,4.14718770980835,0.016443252563476562,1.2790806293487549,0.2004375457763672
"8,12",2,4.111636161804199,0.05199480056762695,1.2435290813446045,0.1844043731689453
"8,13",2,4.178468704223633,-0.01483774185180664,1.310361623764038,0.21234893798828125
"8,14",2,4.123459815979004,0.040171146392822266,1.2553527355194092,0.2235584259033203
"8,15",2,4.161967754364014,0.0016632080078125,1.293860673904419,0.2084512710571289
"8,16",2,4.157412528991699,0.006218433380126953,1.2893054485321045,0.23812389373779297
"8,17",2,4.122471332550049,0.041159629821777344,1.254364252090454,0.17334794998168945
"8,18",2,4.141887187957764,0.0217437744140625,1.273780107498169,0.2514328956604004
"8,19",2,4.1134562492370605,0.050174713134765625,1.2453491687774658,0.25717735290527344
"8,20",2,4.085456848144531,0.07817411422729492,1.2173497676849365,0.20637226104736328
"8,21",2,4.188642501831055,-0.025011539459228516,1.32053542137146,0.23617982864379883
"8,22",2,4.179905891418457,-0.01627492904663086,1.3117988109588623,0.2303471565246582
"8,23",2,4.2226972579956055,-0.0590662956237793,1.3545901775360107,0.24610328674316406
"9,10",2,4.15458345413208,0.009047508239746094,1.2864763736724854,0.10090827941894531
"9,11",2,4.1330647468566895,0.03056621551513672,1.2649576663970947,0.0886845588684082
"9,12",2,4.168591499328613,-0.004960536956787109,1.3004844188690186,0.0015730857849121094
"9,13",2,4.175899028778076,-0.01226806640625,1.3077919483184814,0.08904266357421875
"9,14",2,4.193003177642822,-0.029372215270996094,1.3248960971832275,0.028139114379882812
"9,15",2,4.203915596008301,-0.04028463363647461,1.335808515548706,0.040627479553222656
"9,16",2,4.188645362854004,-0.025014400482177734,1.3205382823944092,0.08101511001586914
"9,17",2,4.17076301574707,-0.007132053375244141,1.3026559352874756,-0.0008196830749511719
"9,18",2,4.157878398895264,0.0057525634765625,1.289771318435669,0.10956573486328125
"9,19",2,4.116357326507568,0.04727363586425781,1.2482502460479736,0.12840032577514648
"9,20",2,4.1648335456848145,-0.0012025833129882812,1.2967264652252197,0.0011196136474609375
"9,21",2,4.195680618286133,-0.03204965591430664,1.327573537826538,0.10326576232910156
"9,22",2,4.253059387207031,-0.08942842483520508,1.3849523067474365,0.031317710876464844
"9,23",2,4.231648921966553,-0.06801795959472656,1.363541841506958,0.11127567291259766
"10,11",2,4.145411968231201,0.018218994140625,1.2773048877716064,0.16355371475219727
"10,12",2,4.158816814422607,0.00481414794921875,1.2907097339630127,0.09856414794921875
"10,13",2,4.169097900390625,-0.005466938018798828,1.3009908199310303,0.1830601692199707
"10,14",2,4.1830339431762695,-0.01940298080444336,1.3149268627166748,0.12532472610473633
"10,15",2,4.212294101715088,-0.04866313934326172,1.3441870212554932,0.11946535110473633
"10,16",2,4.1974005699157715,-0.03376960754394531,1.3292934894561768,0.15947628021240234
"10,17",2,4.187342643737793,-0.023711681365966797,1.3192355632781982,0.06981706619262695
"10,18",2,4.185615539550781,-0.021984577178955078,1.3175084590911865,0.16904497146606445
"10,19",2,4.131612300872803,0.03201866149902344,1.263505220413208,0.2003617286682129
"10,20",2,4.1361494064331055,0.027481555938720703,1.2680423259735107,0.1170201301574707
"10,21",2,4.186352252960205,-0.022721290588378906,1.3182451725006104,0.19981050491333008
"10,22",2,4.23397159576416,-0.07034063339233398,1.3658645153045654,0.13762187957763672
"10,23",2,4.247903347015381,-0.08427238464355469,1.3797962665557861,0.1822376251220703
"11,12",2,4.116546630859375,0.04708433151245117,1.2484395503997803,0.10709190368652344
"11,13",2,4.146991729736328,0.016639232635498047,1.2788846492767334,0.17142391204833984
"11,14",2,4.146207809448242,0.017423152923583984,1.2781007289886475,0.12840843200683594
"11,15",2,4.141214370727539,0.02241659164428711,1.2731072902679443,0.15680265426635742
"11,16",2,4.164988040924072,-0.0013570785522460938,1.2968809604644775,0.15814638137817383
