support_key,loss,gain_from_empty,delta_from_router,pairwise_synergy
"20,23",4.173892974853516,-0.010262012481689453,1.305785894393921,0.16670942306518555
"2,23",4.228434085845947,-0.0648031234741211,1.3603270053863525,0.16495227813720703
"4,6",4.182240009307861,-0.018609046936035156,1.3141329288482666,0.1647958755493164
"1,14",4.127500057220459,0.03613090515136719,1.2593929767608643,0.1647024154663086
"10,11",4.145411491394043,0.018219470977783203,1.2773044109344482,0.16355419158935547
"7,14",4.15682315826416,0.006807804107666016,1.2887160778045654,0.16202449798583984
"1,13",4.173989295959473,-0.010358333587646484,1.305882215499878,0.16201257705688477
"3,15",4.173394680023193,-0.009763717651367188,1.3052875995635986,0.16121673583984375
"3,11",4.151634216308594,0.011996746063232422,1.283527135848999,0.16018342971801758
"2,15",4.134838581085205,0.028792381286621094,1.2667315006256104,0.16016626358032227
"2,3",4.148918151855469,0.014712810516357422,1.280811071395874,0.15988731384277344
"10,16",4.197402000427246,-0.03377103805541992,1.3292949199676514,0.15947484970092773
"0,15",4.069808006286621,0.09382295608520508,1.2017009258270264,0.15947389602661133
"15,21",4.216094970703125,-0.05246400833129883,1.3479878902435303,0.1591191291809082
"0,14",4.046834945678711,0.11679601669311523,1.1787278652191162,0.15904617309570312
"0,1",4.065185546875,0.09844541549682617,1.1970784664154053,0.1588888168334961
"1,16",4.18196964263916,-0.018338680267333984,1.3138625621795654,0.1587510108947754
"11,16",4.1649885177612305,-0.0013575553894042969,1.2968814373016357,0.15814590454101562
"1,3",4.171626567840576,-0.00799560546875,1.3035194873809814,0.1577773094177246
"3,14",4.153934955596924,0.009696006774902344,1.285827875137329,0.15727567672729492
"7,10",4.19624662399292,-0.03261566162109375,1.3281395435333252,0.1569504737854004
"11,15",4.1412129402160645,0.02241802215576172,1.2731058597564697,0.15680408477783203
"5,23",4.271623134613037,-0.10799217224121094,1.4035160541534424,0.15664100646972656
"2,13",4.158793926239014,0.0048370361328125,1.290686845779419,0.15660953521728516
"5,13",4.193815231323242,-0.030184268951416016,1.3257081508636475,0.15646600723266602
"2,16",4.164065837860107,-0.00043487548828125,1.2959587574005127,0.15605640411376953
"2,6",4.160242080688477,0.0033888816833496094,1.2921350002288818,0.15545654296875
"5,15",4.174740314483643,-0.011109352111816406,1.3066332340240479,0.15514230728149414
"0,10",4.086456298828125,0.07717466354370117,1.2183492183685303,0.15377426147460938
"4,21",4.227086067199707,-0.06345510482788086,1.3589789867401123,0.15365934371948242
"14,22",4.184919357299805,-0.021288394927978516,1.31681227684021,0.15232467651367188
"1,22",4.203246593475342,-0.039615631103515625,1.335139513015747,0.1521906852722168
"0,2",4.051760673522949,0.11187028884887695,1.1836535930633545,0.15171527862548828
"19,20",4.090868949890137,0.07276201248168945,1.222761869430542,0.1515665054321289
"7,15",4.19130277633667,-0.02767181396484375,1.3231956958770752,0.15094566345214844
"6,10",4.203589916229248,-0.039958953857421875,1.3354828357696533,0.1488633155822754
"13,15",4.192844867706299,-0.029213905334472656,1.324737787246704,0.14836454391479492
"4,13",4.199911117553711,-0.036280155181884766,1.3318040370941162,0.14682960510253906
"12,19",4.099886417388916,0.06374454498291016,1.2317793369293213,0.1467604637145996
"5,21",4.237794876098633,-0.07416391372680664,1.369687795639038,0.14649105072021484
"7,11",4.173596382141113,-0.00996541976928711,1.3054893016815186,0.1458582878112793
"6,13",4.217161655426025,-0.05353069305419922,1.3490545749664307,0.14474153518676758
"1,15",4.1708784103393555,-0.007247447967529297,1.3027713298797607,0.14472484588623047
"4,15",4.181676864624023,-0.018045902252197266,1.3135697841644287,0.14466524124145508
"0,20",4.006103992462158,0.15752696990966797,1.1379969120025635,0.14458799362182617
"3,5",4.200345993041992,-0.036715030670166016,1.3322389125823975,0.14333724975585938
"1,11",4.150518894195557,0.013112068176269531,1.282411813735962,0.14229059219360352
"14,21",4.209587097167969,-0.04595613479614258,1.341480016708374,0.1422262191772461
