causal_feature_safe,control,empty_loss,fold,heldout_sequence_index,oracle_loss,oracle_regret_positive_fraction,positions,router_loss,router_minus_empty_loss,router_oracle_gap,support_router,top_k,unique_support_sets,used_columns,uses_future_context,variant
True,promoted_contextual_topk2,4.12671422958374,1,1,2.8369357585906982,1.0,63,3.1269755363464355,-0.9997386932373047,0.2900397777557373,contextual_mlp,2,48,19,False,causal_current_past_position
True,promoted_contextual_topk2,4.12671422958374,1,1,2.8369357585906982,1.0,63,3.294415235519409,-0.832298994064331,0.45747947692871094,contextual_mlp,2,41,20,False,current_hidden_only
True,promoted_contextual_topk2,4.12671422958374,1,1,2.8369357585906982,1.0,63,4.215176105499268,0.08846187591552734,1.3782403469085693,contextual_mlp,2,11,8,False,position_only
True,promoted_contextual_topk2,4.12671422958374,1,1,2.8369357585906982,1.0,63,3.1542599201202393,-0.972454309463501,0.317324161529541,contextual_mlp,2,49,21,False,past_context_only
True,linear_topk2_control,4.12671422958374,1,1,3.4794254302978516,1.0,63,3.5038490295410156,-0.6228652000427246,0.024423599243164062,linear,2,32,12,False,linear_actual
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,2.883481502532959,-1.2432327270507812,0.07488036155700684,contextual_mlp_causal,2,47,23,False,actual_causal_context
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,2.883481502532959,-1.2432327270507812,0.07488036155700684,contextual_mlp_causal,2,47,23,False,causal_current_past_position
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,2.885075092315674,-1.2416391372680664,0.07647395133972168,contextual_mlp_causal,2,47,23,False,current_past_no_position
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,3.0802161693573,-1.0464980602264404,0.27161502838134766,contextual_mlp_causal,2,43,21,False,current_hidden_only
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,4.1106061935424805,-0.016108036041259766,1.3020050525665283,contextual_mlp_causal,2,15,9,False,position_only
True,causal_contextual_topk2,4.12671422958374,1,1,2.808601140975952,1.0,63,2.9344804286956787,-1.1922338008880615,0.12587928771972656,contextual_mlp_causal,2,53,23,False,past_context_only
False,contextual_topk1_control,4.12671422958374,1,1,2.9463624954223633,1.0,63,3.120365858078003,-1.0063483715057373,0.17400336265563965,contextual_mlp,1,19,19,True,actual_full_context
True,contextual_topk1_control,4.12671422958374,1,1,2.9463624954223633,1.0,63,3.942042827606201,-0.18467140197753906,0.9956803321838379,contextual_mlp,1,19,19,False,causal_current_past_position
True,contextual_topk1_control,4.12671422958374,1,1,2.9463624954223633,1.0,63,4.105282783508301,-0.021431446075439453,1.1589202880859375,contextual_mlp,1,18,18,False,current_hidden_only
True,contextual_topk1_control,4.12671422958374,1,1,2.9463624954223633,1.0,63,4.19193172454834,0.06521749496459961,1.2455692291259766,contextual_mlp,1,5,5,False,position_only
True,contextual_topk1_control,4.12671422958374,1,1,2.9463624954223633,1.0,63,4.084036827087402,-0.04267740249633789,1.137674331665039,contextual_mlp,1,20,20,False,past_context_only
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,3.2006399631500244,-0.9260742664337158,0.2037057876586914,contextual_mlp_causal,1,22,22,False,actual_causal_context
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,3.2006399631500244,-0.9260742664337158,0.2037057876586914,contextual_mlp_causal,1,22,22,False,causal_current_past_position
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,3.1737492084503174,-0.9529650211334229,0.17681503295898438,contextual_mlp_causal,1,22,22,False,current_past_no_position
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,4.037635326385498,-0.08907890319824219,1.040701150894165,contextual_mlp_causal,1,17,17,False,current_hidden_only
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,4.219054698944092,0.09234046936035156,1.2221205234527588,contextual_mlp_causal,1,9,9,False,position_only
True,causal_contextual_topk1_control,4.12671422958374,1,1,2.996934175491333,1.0,63,3.727318286895752,-0.3993959426879883,0.730384111404419,contextual_mlp_causal,1,21,21,False,past_context_only
False,promoted_contextual_topk2,4.174962520599365,2,2,2.8792459964752197,1.0,63,2.881920099258423,-1.2930424213409424,0.002674102783203125,contextual_mlp,2,48,20,True,actual_full_context
True,promoted_contextual_topk2,4.174962520599365,2,2,2.8792459964752197,1.0,63,3.0012807846069336,-1.1736817359924316,0.12203478813171387,contextual_mlp,2,51,20,False,causal_current_past_position
True,promoted_contextual_topk2,4.174962520599365,2,2,2.8792459964752197,1.0,63,3.1014621257781982,-1.073500394821167,0.22221612930297852,contextual_mlp,2,44,21,False,current_hidden_only
True,promoted_contextual_topk2,4.174962520599365,2,2,2.8792459964752197,1.0,63,4.248499870300293,0.07353734970092773,1.3692538738250732,contextual_mlp,2,14,9,False,position_only
