experiment_id,config_path,run_dir,residual_objective,pinned_support,support_stress,hep_update_clip_norm,hep_settling_objective,step,phase,base_loss,residual_loss,loss_delta_from_initial,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,status
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,29,residual_update,3.72165346,3.57272887,-0.14892459,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,residual_update,3.72165346,3.56889176,-0.15276170,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,support_stress,3.72165346,4.63250589,0.91085243,,,,,,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.00000000,4.63250589,0.00000000,0.63802083,0.00000000,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.25000000,4.63250589,0.00000000,0.63802083,0.00139189,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.50000000,4.63250589,0.00000000,0.63802083,0.00278187,ok
char_extended_hep_support_stress_clipped,configs/char_extended_hep_support_stress_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_clipped,supervised_ce,False,True,0.01,residual_adapter,30,hep_sweep,3.72165346,4.63250589,0.91085243,1.00000000,4.63250589,0.00000000,0.63802083,0.00556183,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,0,initial,3.72165346,3.72165346,0.00000000,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,1,residual_update,3.72165346,3.71527934,-0.00637412,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,2,residual_update,3.72165346,3.70898700,-0.01266646,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,3,residual_update,3.72165346,3.70277739,-0.01887607,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,4,residual_update,3.72165346,3.69665265,-0.02500081,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,5,residual_update,3.72165346,3.69061351,-0.03103995,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,6,residual_update,3.72165346,3.68466115,-0.03699231,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,7,residual_update,3.72165346,3.67879701,-0.04285645,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,8,residual_update,3.72165346,3.67302108,-0.04863238,,,,,,ok
