matrix_role,mean_ce_abs_delta,mean_logit_mse,mean_residual_delta_l2,mean_symmetric_kl,position_bin,residual_norm_bin,row_count,support_churn_fraction,token_class
random_fixed_topk2,0.42061521170975325,0.39405471028445604,7.136683228728059,0.2401438450271433,even,mid,77,0.0,rare_target
rank_matched_contextual_topk1,0.1321147820263198,0.01289610555817021,1.6127623475410722,0.009717204699101827,even,mid,66,0.0,rare_target
dense_active_rank,0.055055405642535235,0.062133018447606415,3.174788992684167,0.025618710983041172,odd,high,111,,common_target
promoted_contextual_topk2,0.16595754732510873,0.1209236849488369,2.7095305612976,0.1071248551917766,odd,high,112,0.9285714285714286,common_target
random_fixed_topk2,0.4906797037835707,0.3566015014392242,6.785409910637036,0.23511983741793716,odd,high,114,0.0,common_target
rank_matched_contextual_topk1,0.05557630986583476,0.004100107653282077,0.7208408534536328,0.0028152973994282344,odd,high,98,0.0,common_target
dense_active_rank,0.08315957247555911,0.060893645960387294,2.9749933075118853,0.02628317574080039,odd,low,91,,common_target
promoted_contextual_topk2,0.47730931494294143,0.2644288458793265,6.253983087655975,0.2576609065517692,odd,low,82,1.0,common_target
random_fixed_topk2,0.4234995444615682,0.318184324410013,6.498072203769479,0.1891409317732498,odd,low,93,0.0,common_target
rank_matched_contextual_topk1,0.11398961280400936,0.013983274263759645,1.8884034351660655,0.008731087882412024,odd,low,104,0.0,common_target
dense_active_rank,0.06584565250241027,0.06626236467261096,3.170222294573881,0.028892347864730626,odd,mid,98,,common_target
promoted_contextual_topk2,0.4650810040392966,0.2280272487726695,5.646711456325819,0.25405229618860725,odd,mid,106,0.9056603773584906,common_target
random_fixed_topk2,0.459387985608911,0.3554869202836867,6.8036035568483415,0.2290230924964592,odd,mid,93,0.0,common_target
rank_matched_contextual_topk1,0.1049137787551296,0.0065580806233634685,1.0925851800307935,0.006525361898017151,odd,mid,98,0.0,common_target
dense_active_rank,0.04218729037158894,0.06586532104971274,3.308885434888444,0.02780124852609522,odd,high,53,,rare_target
promoted_contextual_topk2,0.40753322026946326,0.1934013490798944,4.27106765860861,0.2707168072970076,odd,high,44,0.9090909090909091,rare_target
random_fixed_topk2,0.4473315954208374,0.3816448595788744,6.9819590992397735,0.3013618086775144,odd,high,45,0.0,rare_target
rank_matched_contextual_topk1,0.037785363655823925,0.0020920767897125575,0.40347922273123493,0.0012419291511972775,odd,high,65,0.0,rare_target
dense_active_rank,0.07906366234094324,0.04679791199069627,2.799184379443316,0.020405476689863374,odd,low,71,,rare_target
promoted_contextual_topk2,0.555206415722671,0.35709328610377694,6.629871068648922,0.4354200951339116,odd,low,103,0.8543689320388349,rare_target
random_fixed_topk2,0.4036440800976109,0.30939842458512334,6.285291072484609,0.18544480033420227,odd,low,74,0.0,rare_target
rank_matched_contextual_topk1,0.18962108825936036,0.016615458624003435,1.972851586418555,0.011270826103394511,odd,low,68,0.0,rare_target
dense_active_rank,0.059875153832965426,0.07946110289129946,3.5727683471308813,0.032609946146193475,odd,mid,72,,rare_target
promoted_contextual_topk2,0.31374451700521977,0.250556482244473,5.194311053169017,0.23702152410156227,odd,mid,49,0.9387755102040817,rare_target
random_fixed_topk2,0.40503681634927724,0.3727828732558659,7.008616658000203,0.24168582028382785,odd,mid,77,0.0,rare_target
rank_matched_contextual_topk1,0.12315710976956383,0.01178948888432676,1.4566882523515867,0.009392802080260337,odd,mid,63,0.0,rare_target
