variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
baseline,0.0,17,0,0.0,0.0,-3.257004976272583,2.912400960922241,0.0,0.0,0.0,4.163630962371826,1.251230001449585,0.15512967109680176,4.434449672698975
baseline,0.0,18,16,0.03125,4.525769233703613,-1.5968236923217773,2.969322443008423,0.05692148208618164,0.008020007982850075,0.21213634312152863,4.307052135467529,1.394651174545288,0.3231827914714813,6.166991710662842
baseline,0.0,19,10,0.01953125,4.406306266784668,-7.7143096923828125,2.995772123336792,0.08337116241455078,0.006220028270035982,0.1721213161945343,4.25037956237793,1.3379786014556885,0.3050398528575897,6.062185764312744
baseline,0.0,20,15,0.029296875,4.19060754776001,-3.327394962310791,2.9553468227386475,0.04294586181640625,0.004259283654391766,0.1309564858675003,4.251049041748047,1.3386480808258057,0.28673818707466125,5.96534538269043
baseline,0.0,21,0,0.0,0.7745446562767029,-11.583391189575195,2.912400960922241,0.0,0.0,0.0,4.160000801086426,1.2475998401641846,0.1575615406036377,4.478031635284424
baseline,0.0,22,22,0.04296875,4.210648059844971,-4.264739990234375,2.979839324951172,0.06743836402893066,0.011613277718424797,0.32895687222480774,4.2311110496521,1.3187100887298584,0.2883429527282715,5.731537818908691
baseline,0.0,23,22,0.04296875,4.571019172668457,-4.4609293937683105,2.972710609436035,0.060309648513793945,0.007334329187870026,0.21426650881767273,4.223221302032471,1.3108203411102295,0.30286628007888794,6.152689456939697
load_balance_0.0125,0.0125,0,33,0.064453125,3.873419761657715,3.361016273498535,2.861773729324341,0.03150296211242676,0.0024053396191447973,0.07895859330892563,4.226442337036133,1.3961715698242188,0.26341453194618225,5.532160758972168
load_balance_0.0125,0.0125,1,15,0.029296875,4.255827903747559,-1.7935210466384888,2.889464855194092,0.059194087982177734,0.006756131537258625,0.1828673928976059,4.266045093536377,1.435774326324463,0.29835042357444763,5.773257732391357
load_balance_0.0125,0.0125,2,98,0.19140625,0.7392707467079163,5.280179023742676,2.8302664756774902,-4.291534423828125e-06,3.470664887572639e-05,0.005885884631425142,4.1523027420043945,1.3220319747924805,0.1435033231973648,4.126028537750244
