column_a,column_b,cosine_similarity,value_distance,column_a_used,column_b_used,both_used,co_selected_count
2,14,0.033480141311883926,5.7058844566345215,True,True,True,12
2,15,0.024137403815984726,5.9928436279296875,True,True,True,0
2,16,-0.15989577770233154,6.2751688957214355,True,True,True,0
2,17,0.0009838142432272434,3.9133763313293457,True,False,False,0
2,18,0.07039796561002731,5.922480583190918,True,True,True,0
2,19,-0.07027279585599899,6.1119303703308105,True,True,True,0
2,20,0.0,3.8760986328125,True,False,False,0
2,21,-0.02557295933365822,6.0133490562438965,True,True,True,0
2,22,-0.012237380258738995,5.734533309936523,True,True,True,0
2,23,-0.07810483127832413,6.191572666168213,True,True,True,3
3,4,-0.1947012096643448,6.922831058502197,True,True,True,0
3,5,0.05756150558590889,5.863668918609619,True,True,True,0
3,6,-0.05856068432331085,6.397322654724121,True,True,True,0
3,7,-0.09844914823770523,6.404638290405273,True,True,True,0
3,8,0.03748789057135582,6.263589859008789,True,True,True,0
3,9,-0.05822395905852318,4.459750652313232,True,False,False,0
3,10,0.0010330125223845243,5.931839466094971,True,True,True,0
3,11,0.07127892971038818,5.962385654449463,True,True,True,0
3,12,-0.11531420797109604,4.471057891845703,True,False,False,0
3,13,-0.18189756572246552,6.832512378692627,True,True,True,4
3,14,0.1926441788673401,5.5455322265625,True,True,True,0
3,15,-0.1403711438179016,6.853597640991211,True,True,True,0
3,16,0.08402366191148758,5.930109977722168,True,True,True,2
3,17,-0.09429483860731125,4.492300987243652,True,False,False,0
3,18,-0.20639009773731232,7.123501777648926,True,True,True,0
3,19,-0.11905385553836823,6.634694576263428,True,True,True,0
3,20,0.0,4.408522129058838,True,False,False,0
3,21,-0.20674660801887512,6.91962194442749,True,True,True,0
3,22,0.0022198103833943605,6.067747592926025,True,True,True,4
3,23,0.024992186576128006,6.245107173919678,True,True,True,4
4,5,-0.1359635293483734,6.5445685386657715,True,True,True,0
4,6,0.07100650668144226,6.0891618728637695,True,True,True,0
4,7,0.029699550941586494,6.119696140289307,True,True,True,0
4,8,0.17810139060020447,5.875916004180908,True,True,True,0
4,9,-0.005734487436711788,4.5741963386535645,True,False,False,0
4,10,0.007445910945534706,6.016806125640869,True,True,True,0
4,11,-0.0406709760427475,6.413433074951172,True,True,True,1
4,12,-0.050554703921079636,4.584677219390869,True,False,False,0
4,13,0.09400317817926407,6.0759782791137695,True,True,True,0
4,14,-0.10156910121440887,6.5823469161987305,True,True,True,0
4,15,-0.1930249035358429,7.115945816040039,True,True,True,0
4,16,-0.08374384045600891,6.554111957550049,True,True,True,4
4,17,0.15867814421653748,4.4938249588012695,True,False,False,0
4,18,-0.1298040747642517,6.99649715423584,True,True,True,0
