variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
baseline,0.0,17,10,0.01953125,4.892038345336914,-6.523083686828613,2.9290592670440674,0.030613422393798828,0.0034292619675397873,0.07643812149763107,4.443506240844727,1.545060396194458,0.3769510090351105,6.584873199462891
baseline,0.0,18,36,0.0703125,4.80661678314209,-2.067925453186035,3.102069616317749,0.20362377166748047,0.01985939033329487,0.449762761592865,4.344793319702148,1.4463474750518799,0.35329681634902954,6.077936172485352
baseline,0.0,19,16,0.03125,4.093400955200195,-5.18001127243042,2.9309804439544678,0.03253459930419922,0.002219409216195345,0.06395938992500305,4.323599815368652,1.4251539707183838,0.3032233417034149,5.989810943603516
baseline,0.0,20,8,0.015625,4.599874496459961,-15.12014102935791,2.946653366088867,0.04820752143859863,0.00505372229963541,0.14374607801437378,4.313494682312012,1.4150488376617432,0.3047585189342499,6.19661808013916
baseline,0.0,21,20,0.0390625,4.369507312774658,-3.1987199783325195,2.942103862762451,0.04365801811218262,0.0043366579338908195,0.13654710352420807,4.3272705078125,1.4288246631622314,0.3046436309814453,6.197083950042725
baseline,0.0,22,3,0.005859375,0.5478954315185547,-1.5466156005859375,2.8984458446502686,0.0,0.0,0.0,4.2337422370910645,1.335296392440796,0.15988552570343018,4.478766441345215
baseline,0.0,23,8,0.015625,4.170976638793945,-3.2861080169677734,2.9431707859039307,0.04472494125366211,0.00436792615801096,0.1303430199623108,4.301753997802734,1.4033081531524658,0.29048535227775574,5.936059951782227
load_balance_0.02,0.02,0,98,0.19140625,0.6841615438461304,5.812882423400879,2.896939754486084,0.0,6.469968502642587e-05,0.010617636144161224,4.216734886169434,1.3197951316833496,0.14310035109519958,4.0134382247924805
load_balance_0.02,0.02,1,33,0.064453125,3.892031669616699,3.717731475830078,2.9288158416748047,0.0318760871887207,0.0020455068442970514,0.060816630721092224,4.357651710510254,1.46071195602417,0.272711843252182,5.5341925621032715
load_balance_0.02,0.02,2,8,0.015625,4.040900707244873,0.4845738112926483,2.9452366828918457,0.04829692840576172,0.004871288780122995,0.1262780725955963,4.344799995422363,1.4478602409362793,0.2993861138820648,5.608178615570068
load_balance_0.02,0.02,3,15,0.029296875,4.164575099945068,-3.3662168979644775,2.9988930225372314,0.10195326805114746,0.008976523764431477,0.24401792883872986,4.285106658935547,1.388166904449463,0.2815568745136261,5.475978851318359
load_balance_0.02,0.02,4,24,0.046875,4.5278120040893555,-7.81002140045166,3.089343547821045,0.19240379333496094,0.016719168052077293,0.397055983543396,4.315880298614502,1.418940544128418,0.3253345787525177,5.616589546203613
load_balance_0.02,0.02,5,16,0.03125,4.162461757659912,-5.92249870300293,2.9560978412628174,0.0591580867767334,0.0068534016609191895,0.2601488530635834,4.309864044189453,1.4129242897033691,0.2485276311635971,5.531284332275391
load_balance_0.02,0.02,6,22,0.04296875,3.9299590587615967,2.035557508468628,2.938568592071533,0.04162883758544922,0.004587474744766951,0.12281095236539841,4.375045299530029,1.4781055450439453,0.2915951907634735,5.54902982711792
load_balance_0.02,0.02,7,17,0.033203125,4.155660629272461,-0.42542850971221924,2.96358585357666,0.06664609909057617,0.007057230919599533,0.19479629397392273,4.284778594970703,1.3878388404846191,0.29095664620399475,5.633242130279541
